id,name,model,country,num_rockets,reaction_time,interception_range,detection_range,accuracy,reload_time,max_simultaneous_targets,description,interception_speed,isHypersonicCapable
1,THAAD,THAAD,USA,8,10.00,200000,300000,0.90,6.00,8,"Designed for intercepting short, medium, and intermediate-range ballistic missiles in their terminal phase. Operates at altitudes beyond the atmosphere. Разработана для перехвата баллистических ракет малого, среднего и промежуточного радиуса действия на конечной фазе полета. Работает на высотах за пределами атмосферы.",3000,0
2,"Patriot PAC-3","MIM-104 Patriot",USA,16,15.00,100000,150000,0.85,3.00,9,"The most well-known American air defense system, focused on missile interception and capable of engaging multiple threats simultaneously. Used by many NATO members. Наиболее известная американская система ПВО, ориентированная на перехват ракет и способная противодействовать множеству угроз одновременно. Используется многими странами НАТО.",1700,0
4,"Aster 30 SAMP/T","Aster 30",France/Italy,8,15.00,120000,150000,0.85,2.00,10,"A medium-to-long range system with highly agile missiles, designed to protect against a wide range of aerial threats. Operated by European and NATO countries. Система среднего и дальнего радиуса действия с высокоманевренными ракетами, предназначена для защиты от широкого спектра воздушных угроз. Эксплуатируется в странах Европы и НАТО.",1400,0
5,HQ-9,HQ-9A,China,16,10.00,250000,300000,0.85,5.00,72,"China’s most capable long-range system, comparable to the S-300. It provides layered defense against aircraft, cruise missiles, and ballistic missiles. Самая мощная система ПВО Китая дальнего действия, сравнимая с российским С-300. Обеспечивает многослойную защиту от самолетов, крылатых и баллистических ракет.",1900,0
6,"David’s Sling",Stunner,Israel,12,5.00,200000,250000,0.88,4.00,12,"Developed by Israel to intercept medium-to-long range rockets and cruise missiles. Works in conjunction with Iron Dome and Arrow systems. Разработана Израилем для перехвата ракет среднего и дальнего радиуса действия, а также крылатых ракет. Работает в сочетании с системами Железный Купол и Стрела.",1200,0
7,"Iron Dome",Tamir,Israel,20,2.00,70000,90000,0.95,1.00,6,"Highly effective short-range system designed to intercept rockets, artillery, and mortar shells. Deployed in urban areas and known for its success rate. Высокоэффективная система ближнего действия, предназначенная для перехвата ракет, артиллерийских снарядов и минометных обстрелов. Используется в городских районах, известна высокой степенью успешности.",750,0
8,S-300PMU-2,S-300PMU-2,Russia,16,10.00,200000,300000,0.85,5.00,36,"A predecessor to the S-400, still widely used around the world. Effective for medium-to-long range interception of aircraft, cruise, and ballistic missiles. Предшественник С-400, все еще широко используется по всему миру. Эффективен для перехвата целей среднего и дальнего радиуса действия, включая самолеты, крылатые и баллистические ракеты.",1900,0
9,NASAMS,"NASAMS 2",Norway/USA,12,5.00,100000,120000,0.80,2.00,72,"Widely deployed in NATO countries, NASAMS is effective for short-to-medium range defense against UAVs, aircraft, and cruise missiles. Широко используется в странах НАТО, NASAMS эффективна для защиты на коротких и средних дистанциях от беспилотников, самолетов и крылатых ракет.",1000,0
10,"Barak 8","Barak 8",Israel/India,8,8.00,150000,200000,0.85,3.00,12,"A joint Israeli-Indian system designed to target aircraft, helicopters, anti-ship missiles, and UAVs. Offers medium-range naval and land-based defense. Совместная израильско-индийская система, предназначенная для уничтожения самолетов, вертолетов, противокорабельных ракет и беспилотников. Обеспечивает среднедистанционную защиту на море и суше.",1900,0
11,"S-500 Prometey",S-500,Russia,10,8.00,600000,750000,0.95,4.00,100,"A next-generation Russian air defense system, capable of intercepting hypersonic missiles, satellites, and ICBMs. With extended detection and interception ranges, it is a key system for future air defense. Новейшая российская система ПВО, способная перехватывать гиперзвуковые ракеты, спутники и МБР. Обладает расширенными возможностями обнаружения и перехвата, является ключевой системой для будущей противовоздушной обороны.",4000,1
12,Pantsir-S1,Pantsir-S1,Russia,12,4.00,20000,40000,0.90,5.00,4,"The Pantsir-S1 is a mobile, short-to-medium range air defense system combining anti-aircraft guns and missiles, designed to intercept aircraft, helicopters, drones, and precision-guided munitions. Its highly mobile nature and rapid reaction make it ideal for protecting strategic locations. (Панцирь-С1 - мобильная система ПВО малой и средней дальности, сочетающая зенитные орудия и ракеты, предназначенная для перехвата самолетов, вертолетов, дронов и высокоточных боеприпасов. Высокая мобильность и быстрая реакция делают его идеальным для защиты стратегических объектов).",1300,0
13,"S-350 Vityaz",S-350,Russia,12,5.00,150000,600000,0.92,6.00,16,"The S-350 Vityaz is a medium-range air defense system, developed to replace the older S-300. It can engage multiple aerial targets such as aircraft, drones, and cruise missiles simultaneously. It is an agile system with advanced radar and fire control. (С-350 Витязь - система ПВО средней дальности, разработанная для замены старого С-300. Может одновременно атаковать несколько воздушных целей, таких как самолеты, дроны и крылатые ракеты. Это гибкая система с современным радаром и системой управления огнем).",1800,0
14,Tor-M2,Tor-M2,Russia,16,3.00,20000,40000,0.85,7.00,8,"The Tor-M2 is a highly automated short-range air defense system designed for the interception of drones, helicopters, and low-flying aircraft. It is capable of firing while on the move and is noted for its short reaction time. (Тор-М2 - высокоавтоматизированная система ПВО ближнего радиуса действия, предназначенная для перехвата дронов, вертолетов и низколетящих самолетов. Способен стрелять на ходу и отличается коротким временем реакции).",1000,0
15,Buk-M3,Buk-M3,Russia,6,7.00,75000,180000,0.93,8.00,36,"The Buk-M3 is a medium-range air defense system capable of intercepting both aerial targets and short-range ballistic missiles. With advanced radar and missile accuracy, it can simultaneously engage multiple targets. (Бук-М3 - система ПВО средней дальности, способная перехватывать как воздушные цели, так и баллистические ракеты малой дальности. Благодаря усовершенствованной радиолокации и точности ракет, она может одновременно атаковать несколько целей).",1100,0
16,"A-235 Nudol",A-235,Russia,12,5.00,1500000,3000000,0.85,60.00,12,"A-235 is an advanced Russian ABM system designed to intercept ICBMs and satellites in low-earth orbit. It has a detection range of 4,000 km and can intercept ballistic threats from 1,500 to 3,500 km. Intended as a replacement for the A-135, it is one of the most sophisticated ABM systems in the world. А-235 является современной российской системой противоракетной обороны, предназначенной для перехвата МБР и спутников на низкой орбите. Обладает дальностью обнаружения до 4000 км.",4500,0
17,HQ-19,HQ-19,China,16,4.00,500000,3000000,0.90,45.00,10,"HQ-19 is China's advanced ballistic missile defense system designed to intercept medium- and intermediate-range ballistic missiles. It is comparable to the U.S. THAAD system, with a detection range of up to 4,000 km. HQ-19 является продвинутой системой ПРО Китая, способной перехватывать ракеты средней дальности.",2500,0
18,S-550,S-550,Russia,8,5.00,750000,1500000,0.95,40.00,15,"S-550 is an upgrade of the S-500, designed to intercept strategic missiles, satellites, and hypersonic threats. It is part of Russia's layered missile defense with superior capabilities over the S-500. S-550 является усовершенствованием С-500 и предназначен для перехвата стратегических ракет и гиперзвуковых угроз.",4500,1
20,HQ-26,HQ-26,China,10,5.00,300000,3000000,0.90,50.00,12,"HQ-26 is a naval ballistic missile defense system used by China, capable of intercepting medium- and intermediate-range ballistic missiles. Comparable to the U.S. SM-3, it is part of China's naval defense strategy. HQ-26 - морская система ПРО Китая, способная перехватывать ракеты средней дальности.",3000,0
22,S-300V4,S-300V4,Russia,8,3.00,400000,500000,0.85,20.00,10,"S-300V4 is the most advanced version of the S-300 series, capable of targeting aircraft, cruise missiles, and ballistic missiles. It features enhanced anti-ballistic capabilities with detection up to 1,000 km. С-300В4 - передовая версия С-300, способная перехватывать баллистические ракеты и самолеты.",2600,0
23,"S-400 Triumph",S-400,Russia,32,9.00,400000,600000,0.90,5.00,80,"One of the most advanced long-range air defense systems in the world, capable of targeting aircraft, UAVs, cruise and ballistic missiles. Highly flexible and strategic. Одна из самых современных систем ПВО дальнего радиуса действия в мире, способная поражать самолеты, беспилотники, крылатые и баллистические ракеты. Высокая гибкость и стратегическая значимость.",2500,NULL
